,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Unnamed: 109
7337,2015,4,12,8,2,2015-12-08,DL,19790,DL,N950AT,1227,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22,11697,1169704,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,905,903.0,-2.0,0.0,0.0,-1.0,0900-0959,36.0,939.0,1216.0,3.0,1235,1219.0,-16.0,0.0,0.0,-2.0,1200-1259,0.0,,0.0,210.0,196.0,157.0,1.0,1076.0,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130849,2015,4,12,13,7,2015-12-13,AA,19805,AA,N859AA,298,12173,1217302,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,2225,2216.0,-9.0,0.0,0.0,-1.0,2200-2259,18.0,2234.0,515.0,6.0,550,521.0,-29.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,325.0,305.0,281.0,1.0,2556.0,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187211,2015,4,12,28,1,2015-12-28,AA,19805,AA,N805AW,1763,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,1800,1849.0,49.0,49.0,1.0,3.0,1800-1859,13.0,1902.0,1947.0,5.0,1907,1952.0,45.0,45.0,1.0,3.0,1900-1959,0.0,,0.0,67.0,63.0,45.0,1.0,290.0,2,40.0,0.0,0.0,0.0,5.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375302,2015,4,12,1,2,2015-12-01,WN,19393,WN,N733SA,440,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,11423,1142304,31423,DSM,"Des Moines, IA",IA,19,Iowa,61,2155,2158.0,3.0,3.0,0.0,0.0,2100-2159,13.0,2211.0,2305.0,5.0,2310,2310.0,0.0,0.0,0.0,0.0,2300-2359,0.0,,0.0,75.0,72.0,54.0,1.0,306.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444731,2015,4,12,23,3,2015-12-23,WN,19393,WN,N7728D,223,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,610,604.0,-6.0,0.0,0.0,-1.0,0600-0659,13.0,617.0,700.0,6.0,715,706.0,-9.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,65.0,62.0,43.0,1.0,258.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205719,2015,4,12,1,2,2015-12-01,B6,20409,B6,N228JB,917,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12478,1247803,31703,JFK,"New York, NY",NY,36,New York,22,549,548.0,-1.0,0.0,0.0,-1.0,0001-0559,12.0,600.0,644.0,4.0,700,648.0,-12.0,0.0,0.0,-1.0,0700-0759,0.0,,0.0,71.0,60.0,44.0,1.0,187.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53919,2015,4,12,3,4,2015-12-03,DL,19790,DL,N975DL,2415,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2200,2200.0,0.0,0.0,0.0,0.0,2200-2259,15.0,2215.0,2346.0,8.0,8,2354.0,-14.0,0.0,0.0,-1.0,0001-0559,0.0,,0.0,128.0,114.0,91.0,1.0,746.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55428,2015,4,12,27,7,2015-12-27,DL,19790,DL,N946DL,2465,10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1525,1522.0,-3.0,0.0,0.0,-1.0,1500-1559,22.0,1544.0,1754.0,8.0,1815,1802.0,-13.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,170.0,160.0,130.0,1.0,859.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415254,2015,4,12,14,1,2015-12-14,WN,19393,WN,N964WN,1520,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1635,1635.0,0.0,0.0,0.0,0.0,1600-1659,11.0,1646.0,1732.0,6.0,1750,1738.0,-12.0,0.0,0.0,-1.0,1700-1759,0.0,,0.0,75.0,63.0,46.0,1.0,258.0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142834,2015,4,12,14,1,2015-12-14,AA,19805,AA,N3EBAA,1375,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1015,1009.0,-6.0,0.0,0.0,-1.0,1000-1059,20.0,1029.0,1114.0,7.0,1129,1121.0,-8.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,74.0,72.0,45.0,1.0,236.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
